Volcano Number,Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
257061,Pomare,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-16.7241,168.2852,812,,Subduction zone / Intermediate crust (15-25 km)
257062,Tavani Ruro,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-16.8004,168.4383,540,,Subduction zone / Intermediate crust (15-25 km)
257075,Tongoa,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,,,,-16.9,168.5611,0,,Subduction zone / Intermediate crust (15-25 km)
257080,Northeast Shepherd Islands,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano(es),,,-17.0007,168.636,513,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
257085,Unnamed,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-18.1961,168.8243,-127,,Subduction zone / Intermediate crust (15-25 km)
257110,Aneityum,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano(es),,,-20.1875,169.8194,852,Basalt / Picro-Basalt,Subduction zone / Intermediate crust (15-25 km)
257800,Ureparapara,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-13.53,167.32,764,,Subduction zone / Intermediate crust (15-25 km)
257801,Mota,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-13.85,167.68,411,,Subduction zone / Intermediate crust (15-25 km)
257802,Merig,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-14.32,167.8,125,,Subduction zone / Intermediate crust (15-25 km)
257803,Paama Island,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Complex,,,-16.47,168.23,544,,Unknown
257804,Northern Efate,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Cluster,Stratovolcano(es),,,-17.6167,168.3792,500,,Subduction zone / Intermediate crust (15-25 km)
257805,William,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-18.7,169.08,886,,Subduction zone / Intermediate crust (15-25 km)
257806,Northwest Shepherd Islands,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Complex,,,-17.063,168.381,629,,Unknown
257807,Pumpan,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-18.85,169.12,802,,Subduction zone / Intermediate crust (15-25 km)
257808,Melkum,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano(es),,,-18.85,169.05,758,,Subduction zone / Intermediate crust (15-25 km)
257809,East Tanna,Vanuatu,Southwest Pacific Volcanic Regions,Vanuatu Volcanic Arc,Composite,Stratovolcano,,,-19.42,169.45,552,,Subduction zone / Continental crust (>25 km)
